scheme,sd_multiplier,species,n_bins,n_top5_zero,n_top10_zero,n_top5_mean,n_top10_mean
Martigny_only,1,Cinerea,5037,1169,1169,1169,1169
Martigny_only,1,Selysi,5037,1610,1610,1610,1610
Martigny_only,1.5,Cinerea,5037,789,789,789,789
Martigny_only,1.5,Selysi,5037,1250,1250,1250,1250
Martigny_only,2,Cinerea,5037,527,527,527,527
Martigny_only,2,Selysi,5037,966,966,966,966
broad_original,1,Cinerea,5037,852,852,852,852
broad_original,1,Selysi,5037,480,1068,284,542
broad_original,1.5,Cinerea,5037,468,980,468,533
broad_original,1.5,Selysi,5037,555,555,272,512
broad_original,2,Cinerea,5037,556,556,283,514
broad_original,2,Selysi,5037,268,709,252,519
no_Martigny,1,Cinerea,5037,1700,1700,1700,1700
no_Martigny,1,Selysi,5037,421,951,271,504
no_Martigny,1.5,Cinerea,5037,1112,1112,1112,1112
no_Martigny,1.5,Selysi,5037,404,938,260,515
no_Martigny,2,Cinerea,5037,715,715,715,715
no_Martigny,2,Selysi,5037,481,1284,253,511
no_Monthey,1,Cinerea,5037,936,936,936,936
no_Monthey,1,Selysi,5037,475,1093,256,517
no_Monthey,1.5,Cinerea,5037,571,571,571,571
no_Monthey,1.5,Selysi,5037,491,1130,270,507
no_Monthey,2,Cinerea,5037,344,821,344,506
no_Monthey,2,Selysi,5037,589,589,255,509
no_Visp,1,Cinerea,5037,958,958,958,958
no_Visp,1,Selysi,5037,926,926,926,926
no_Visp,1.5,Cinerea,5037,579,579,579,579
no_Visp,1.5,Selysi,5037,668,668,668,668
no_Visp,2,Cinerea,5037,351,784,351,536
no_Visp,2,Selysi,5037,469,1134,469,593
strict_all_F1_sites,1,Cinerea,5037,804,804,804,804
strict_all_F1_sites,1,Selysi,5037,369,872,263,529
strict_all_F1_sites,1.5,Cinerea,5037,473,997,473,537
strict_all_F1_sites,1.5,Selysi,5037,376,900,258,515
strict_all_F1_sites,2,Cinerea,5037,268,651,268,513
strict_all_F1_sites,2,Selysi,5037,468,1232,253,512
